ccy,idiff,fstar,rx,dlogE,realized_uip_1y
AUD,0.00862293956,13.9553274,-0.001644609827,0.00238500589,-0.008795219654
BRL,0.08090359281,-13.5549713,0.001223155008,0.00551621625,0.0036811791
CAD,-0.001496923077,2.578628531,-0.002117414661,0.002005677023,-0.01945231324
CHF,-0.01887159884,28.78013151,-0.0007287896485,-0.0008217162863,0.0007080089946
EUR,-0.01004210945,-16.21228131,-0.001620513151,0.0008007099837,-0.01821292739
GBP,-0.003170318681,17.24285134,-0.0009457993229,0.0006880873266,-0.01212122365
JPY,-0.01520575304,13.67617712,-0.004900992417,0.00365083611,-0.05009413296
MXN,0.04905054945,-33.58749139,0.00186023138,0.002234823565,0.02692749135
NZD,0.009992857143,7.469100103,-0.0008605219926,0.001714734447,-0.0008812334476
ZAR,0.04105558041,-8.271255311,-0.001598877011,0.005036309004,0.01535210959
