ccy,symbol,year,month_code,obs,first,last
EUR,6EH14.CME,2014,H,1,2014-03-17,2014-03-17
EUR,6EU25.CME,2025,U,1267,2020-09-01,2025-09-15
EUR,6EZ25.CME,2025,Z,1268,2020-12-01,2025-12-15
EUR,6EH26.CME,2026,H,1268,2021-03-02,2026-03-16
EUR,6EU26.CME,2026,U,1206,2021-09-13,2026-07-01
EUR,6EZ26.CME,2026,Z,1142,2021-12-13,2026-07-01
GBP,6BH14.CME,2014,H,1,2014-03-17,2014-03-17
GBP,6BU25.CME,2025,U,1267,2020-09-01,2025-09-15
GBP,6BZ25.CME,2025,Z,1268,2020-12-01,2025-12-15
GBP,6BH26.CME,2026,H,1267,2021-03-02,2026-03-16
GBP,6BU26.CME,2026,U,1206,2021-09-13,2026-07-01
GBP,6BZ26.CME,2026,Z,1142,2021-12-13,2026-07-01
JPY,6JH14.CME,2014,H,1,2014-03-17,2014-03-17
JPY,6JU25.CME,2025,U,1267,2020-09-01,2025-09-15
JPY,6JZ25.CME,2025,Z,1268,2020-12-01,2025-12-15
JPY,6JH26.CME,2026,H,1267,2021-03-02,2026-03-16
JPY,6JU26.CME,2026,U,1206,2021-09-13,2026-07-01
JPY,6JZ26.CME,2026,Z,1142,2021-12-13,2026-07-01
CHF,6SH14.CME,2014,H,1,2014-03-17,2014-03-17
CHF,6SU25.CME,2025,U,1267,2020-09-01,2025-09-15
CHF,6SZ25.CME,2025,Z,1268,2020-12-01,2025-12-15
CHF,6SH26.CME,2026,H,1267,2021-03-02,2026-03-16
CHF,6SU26.CME,2026,U,1206,2021-09-13,2026-07-01
CHF,6SZ26.CME,2026,Z,1141,2021-12-13,2026-06-30
CAD,6CH14.CME,2014,H,1,2014-03-18,2014-03-18
CAD,6CM25.CME,2025,M,1268,2020-06-03,2025-06-17
CAD,6CZ25.CME,2025,Z,1268,2020-12-02,2025-12-16
CAD,6CU26.CME,2026,U,1205,2021-09-14,2026-07-01
CAD,6CZ26.CME,2026,Z,1141,2021-12-14,2026-07-01
AUD,6AH14.CME,2014,H,1,2014-03-17,2014-03-17
AUD,6AU25.CME,2025,U,1267,2020-09-01,2025-09-15
AUD,6AZ25.CME,2025,Z,1268,2020-12-01,2025-12-15
AUD,6AH26.CME,2026,H,1267,2021-03-02,2026-03-16
AUD,6AU26.CME,2026,U,1206,2021-09-13,2026-07-01
AUD,6AZ26.CME,2026,Z,1142,2021-12-13,2026-07-01
NZD,6NH14.CME,2014,H,1,2014-03-17,2014-03-17
NZD,6NZ21.CME,2021,Z,1,2021-12-13,2021-12-13
NZD,6NU25.CME,2025,U,377,2024-03-18,2025-09-15
NZD,6NZ25.CME,2025,Z,377,2024-06-17,2025-12-15
NZD,6NH26.CME,2026,H,376,2024-09-16,2026-03-16
NZD,6NU26.CME,2026,U,325,2025-03-17,2026-07-01
NZD,6NZ26.CME,2026,Z,261,2025-06-16,2026-06-30
MXN,6MH14.CME,2014,H,1,2014-03-17,2014-03-17
MXN,6MU25.CME,2025,U,397,2024-02-16,2025-09-15
MXN,6MZ25.CME,2025,Z,401,2024-05-13,2025-12-15
MXN,6MH26.CME,2026,H,395,2024-08-19,2026-03-16
MXN,6MU26.CME,2026,U,346,2025-02-03,2026-07-01
MXN,6MZ26.CME,2026,Z,280,2025-05-19,2026-06-30
BRL,6LU26.CME,2026,U,1338,2016-08-18,2026-06-30
BRL,6LZ26.CME,2026,Z,1213,2016-11-17,2026-06-30
ZAR,6ZH14.CME,2014,H,1,2014-03-14,2014-03-14
ZAR,6ZZ21.CME,2021,Z,1,2021-12-13,2021-12-13
ZAR,6ZU25.CME,2025,U,526,2023-08-14,2025-09-15
ZAR,6ZZ25.CME,2025,Z,525,2023-11-13,2025-12-15
ZAR,6ZH26.CME,2026,H,521,2024-02-16,2026-03-16
ZAR,6ZU26.CME,2026,U,469,2024-08-19,2026-07-01
